Rank,Title,Status,Study Results,conditions,conditions_head,Interventions,Funded Bys,Study Type,start_date,Locations,URL
2146,Pilot Study of the Efficacy and Safety of Lidoderm Patch in the Treatment of Low Back Pain,Completed,No Results Available,Chronic Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Drug: Lidoderm®,Industry,Interventional,2003-04-01,"Birmingham, Alabama, United States|Hueytown, Alabama, United States|Phoenix, Arizona, United States|Mill Valley, California, United States|Allentown, Pennsylvania, United States|Salt Lake City, Utah, United States",https://ClinicalTrials.gov/show/NCT00904475
2148,Effects of Mindfulness-Based Stress Reduction on Knee Osteoarthritis,Recruiting,No Results Available,Knee Osteoarthritis,Skin and Connective Tissue Diseases,Behavioral: Mindfulness-Based Stress Reduction|Behavioral: Health Enhancement Program,Other,Interventional,2018-01-30,"University of California, Davis Medical Center, Davis, California, United States",https://ClinicalTrials.gov/show/NCT03527849
2589,"Long Term Safety and Tolerability Study in Approximately 350 Subjects With Moderate to Severe Chronic, Non-malignant Pain",Completed,No Results Available,"Moderate to Severe Chronic, Non-malignant Pain",Nervous System Diseases,Drug: Hydrocodone/Acetaminophen on Extended Release,Industry,Interventional,2005-06-01,"Site Ref # / Investigator 1696, Huntsville, Alabama, United States|Site Reference # / Investigator 1729, Chandler, Arizona, United States|Site Reference # / Investigator 1702, Mesa, Arizona, United States|Site Reference # / Investigator 1745, Peoria, Arizona, United States|Site Ref # / Investigator 1697, Tempe, Arizona, United States|Site Ref # / Investigator 1818, Tempe, Arizona, United States|Site Reference # / Investigator 1795, Tucson, Arizona, United States|Site Ref # / Investigator 2555, Carmichael, California, United States|Site Reference # / Investigator 1688, Fair Oaks, California, United States|Site Reference # / Investigator 1790, Pasadena, California, United States|Site Reference # / Investigator 1735, San Diego, California, United States|Site Reference # / Investigator 1775, San Luis Obispo, California, United States|Site Ref # / Investigator 1742, Santa Ana, California, United States|Site Ref # / Investigator 1754, Tarzana, California, United States|Site Reference # / Investigator 1700, Whittier, California, United States|Site Reference # / Investigator 1690, Colorado Springs, Colorado, United States|Site Ref # / Investigator 1713, Littleton, Colorado, United States|Site Ref # / Investigator 1711, Bristol, Connecticut, United States|Site Reference # / Investigator 1723, Clearwater, Florida, United States|Site Ref # / Investigator 1813, Clearwater, Florida, United States|Site Reference # / Investigator 1718, DeLand, Florida, United States|Site Reference # / Investigator 1819, Longwood, Florida, United States|Site Reference # / Investigator 1809, Miami, Florida, United States|Site Reference # / Investigator 1738, Miami, Florida, United States|Site Ref # / Investigator 1716, Orlando, Florida, United States|Site Reference # / Investigator 1755, Palm Harbor, Florida, United States|Site Ref # / Investigator 1814, Pembroke Pines, Florida, United States|Site Reference # / Investigator 1737, Plantation, Florida, United States|Site Reference # / Investigator 1747, St. Petersburg, Florida, United States|Site Reference # / Investigator 1744, Arlington Heights, Illinois, United States|Site Reference # / Investigator 1691, Chicago, Illinois, United States|Site Reference # / Investigator 1714, Evansville, Indiana, United States|Site Ref # / Investigator 1739, Metairie, Louisiana, United States|Site Reference # / Investigator 1810, Owings Mills, Maryland, United States|Site Ref # / Investigator 1707, Fall River, Massachusetts, United States|Site Reference # / Investigator 1743, Wellesley Hills, Massachusetts, United States|Site Ref # / Investigator 1792, Jackson, Mississippi, United States|Site Reference # / Investigator 1721, St. Louis, Missouri, United States|Site Ref # / Investigator 1812, St. Louis, Missouri, United States|Site Reference # / Investigator 2424, St. Louis, Missouri, United States|Site Ref # / Investigator 1722, Omaha, Nebraska, United States|Site Ref # / Investigator 1774, Omaha, Nebraska, United States|Site Reference # / Investigator 1789, Omaha, Nebraska, United States|Site Reference # / Investigator 1705, Las Vegas, Nevada, United States|Site Reference # / Investigator 1791, Las Vegas, Nevada, United States|Site Reference # / Investigator 1701, Medford, New Jersey, United States|Site Reference # / Investigator 2461, Trenton, New Jersey, United States|Site Reference # / Investigator 1726, Binghamton, New York, United States|Site Reference # / Investigator 1815, New York, New York, United States|Site Reference # / Investigator 1708, Charlotte, North Carolina, United States|Site Ref # / Investigator 1730, Monroe, North Carolina, United States|Site Reference # / Investigator 1741, Raleigh, North Carolina, United States|Site Reference # / Investigator 1689, Cincinnati, Ohio, United States|Site Ref # / Investigator 1694, Cincinnati, Ohio, United States|Site Ref # / Investigator 1816, Cleveland, Ohio, United States|Site Reference # / Investigator 1715, Oklahoma City, Oklahoma, United States|Site Reference # / Investigator 2423, Portland, Oregon, United States|Site Reference # / Investigator 1794, Beaver, Pennsylvania, United States|Site Reference # / Investigator 1749, Duncansville, Pennsylvania, United States|Site Reference # / Investigator 1752, Erie, Pennsylvania, United States|Site Reference # / Investigator 1709, Mechanicsburg, Pennsylvania, United States|Site Reference # / Investigator 1757, Cordova, Tennessee, United States|Site Reference # / Investigator 1727, Selmer, Tennessee, United States|Site Ref # / Investigator 1692, Austin, Texas, United States|Site Reference # / Investigator 1722, Austin, Texas, United States|Site Reference # / Investigator 2425, Dallas, Texas, United States|Site Reference # / Investigator 1699, Fort Worth, Texas, United States|Site Ref # / Investigator 1725, Killeen, Texas, United States|Site Reference # / Investigator 1710, San Angelo, Texas, United States|Site Reference # / Investigator 1686, San Antonio, Texas, United States|Site Reference # / Investigator 2426, San Antonio, Texas, United States|Site Reference # / Investigator 1808, San Antonio, Texas, United States|Site Reference # / Investigator 1732, Salt Lake City, Utah, United States|Site Reference # / Investigator 1740, Salt Lake City, Utah, United States|Site Ref # / Investigator 1733, Norfolk, Virginia, United States|Site Reference # / Investigator 1719, Virginia Beach, Virginia, United States",https://ClinicalTrials.gov/show/NCT00195728
2150,Efficacy & Safety Study of Natural Eggshell Membrane (NEM) for the Treatment of Joint & Connective Tissue Disorders,Completed,No Results Available,Osteoarthritis|Fibromyalgia,Skin and Connective Tissue Diseases,Dietary Supplement: NEM Formulation X|Dietary Supplement: NEM Formulation Y,Industry,Interventional,2003-11-01,"Leu Private Practice, Jenks, Oklahoma, United States",https://ClinicalTrials.gov/show/NCT00750854
2461,Safety and Tolerability of Egalet-002 in Patients With Moderate-to-Severe Chronic Noncancer Pain,Completed,No Results Available,Moderate-to-severe Chronic Noncancer Pain,Nervous System Diseases,Drug: Oxycodone extended-release,Industry,Interventional,2016-03-07,"Site 334, Huntsville, Alabama, United States|Site 328, Tucson, Arizona, United States|Site 332, Jacksonville, Florida, United States|Site 340, Miami Gardens, Florida, United States|Site 320, Plantation, Florida, United States|Site 302, Tampa, Florida, United States|Site 315, Tampa, Florida, United States|Site 310, Winter Haven, Florida, United States|Site 316, Dawsonville, Georgia, United States|Site 311, Marietta, Georgia, United States|Site 336, Bloomington, Illinois, United States|Site 345, Blue Island, Illinois, United States|Site 304, Evansville, Indiana, United States|Site 325, Valparaiso, Indiana, United States|Site 321, Overland Park, Kansas, United States|Site 342, Wichita, Kansas, United States|Site 329, New Orleans, Louisiana, United States|Site 326, Quincy, Massachusetts, United States|Site 303, Saint Louis, Missouri, United States|Site 306, Las Vegas, Nevada, United States|Site 313, Belvidere, New Jersey, United States|Site 346, Blackwood, New Jersey, United States|Site 323, Hartsdale, New York, United States|Site 338, Mooresville, North Carolina, United States|Site 333, Cincinnati, Ohio, United States|Site 343, Cleveland, Ohio, United States|Site 308, Huber Heights, Ohio, United States|Site 347, Kettering, Ohio, United States|Site 335, Oklahoma City, Oklahoma, United States|Site 312, Eugene, Oregon, United States|Site 322, Duncansville, Pennsylvania, United States|Site 324, Wyomissing, Pennsylvania, United States|Site 344, Myrtle Beach, South Carolina, United States|Site 314, Summerville, South Carolina, United States|Site 341, New Tazewell, Tennessee, United States|Site 318, Austin, Texas, United States|Site 330, Dallas, Texas, United States|Site 309, San Antonio, Texas, United States|Site 331, West Jordan, Utah, United States",https://ClinicalTrials.gov/show/NCT02603705
2153,Intranasal Fentanyl for Initial Treatment of a Vaso-occlusive Crisis,Completed,Has Results,"Anemia, Sickle Cell|Pain",Heart and Blood Diseases,Drug: Fentanyl Citrate|Drug: Normal Saline,Other,Interventional,2011-12-01,"Children's Hospital at Montefiore, Bronx, New York, United States",https://ClinicalTrials.gov/show/NCT01482091
2155,Pilot Study of the Efficacy & Safety of Natural Eggshell Membrane (NEM) for Joint & Connective Tissue Disorders,Completed,No Results Available,Osteoarthritis|Fibromyalgia,Skin and Connective Tissue Diseases,Dietary Supplement: NEM,Industry,Interventional,2003-10-01,"Robinson Family Clinic, Carthage, Missouri, United States",https://ClinicalTrials.gov/show/NCT00750230
1191,Comparison of the Efficacy and Mechanisms for MBCT and CT for Multiple Sclerosis (MS) Chronic Pain,Unknown status,No Results Available,Multiple Sclerosis,Nervous System Diseases,Behavioral: Mindfulness Based Cognitive Therapy|Behavioral: Cognitive Therapy,Other,Interventional,2013-10-01,"UW Medicine Multiple Sclerosis Center, Seattle, Washington, United States",https://ClinicalTrials.gov/show/NCT02012439
2158,"Short and Long Term Exposure to Unique, Time-Varying Pulsed Electro-Magnetic Fields in Refractory Carpal Tunnel Syndrome",Completed,No Results Available,Refractory Carpal Tunnel Syndrome|Neurpathic Pain|Neuromodulaton,Wounds and Injuries,Device: reduction of pain scores by magnetic energy,Other,Interventional,2004-06-01,"Michael I. Weintraub MD, PC, Briarcliff, New York, United States",https://ClinicalTrials.gov/show/NCT00277563
2159,MC5-A Scrambler Therapy or TENS Therapy in Treating Patients With Chemotherapy-Induced Peripheral Neuropathy,"Active, not recruiting",No Results Available,Pain|Peripheral Neuropathy|Tingling,Nervous System Diseases,Other: Laboratory Biomarker Analysis|Other: MC5-A Scrambler Therapy|Other: Questionnaire Administration|Other: Transcutaneous Electrical Nerve Stimulation,Other|NIH,Interventional,2016-04-01,"Mayo Clinic, Rochester, Minnesota, United States",https://ClinicalTrials.gov/show/NCT02722434
2160,A Study of Orthotic Shoe Inserts for Controlling Osteoarthritic Knee Pain,Completed,No Results Available,Osteoarthritis,Skin and Connective Tissue Diseases,Device: Lateral wedge orthotic shoe inserts|Device: Standard orthotic shoe inserts,Other|NIH,Interventional,2003-06-01,"Rush University Medical Center, Section of Rheumatology, Chicago, Illinois, United States",https://ClinicalTrials.gov/show/NCT00076453
1237,Cognitive-behavior Therapy for MS-Related Chronic Pain,Completed,Has Results,Multiple Sclerosis,Nervous System Diseases,Behavioral: Cognitive-behavior therapy|Other: Interventional,U.S. Fed,Interventional,2006-07-01,"VA Connecticut Health Care System (West Haven), West Haven, Connecticut, United States|VA Medical Center, Jamaica Plain Campus, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT00323271
1493,A Study to Test the Use of Duloxetine for Pain in MS,Completed,Has Results,Multiple Sclerosis,Nervous System Diseases,Drug: Duloxetine|Drug: Placebo,Other|Industry,Interventional,2007-01-01,"Evergreen Healthcare, Kirkland, Washington, United States",https://ClinicalTrials.gov/show/NCT00457730
1815,Anesthetic Topical Adhesive (Synera™) to Reduce Injection Pain With Subcutaneous Multiple Sclerosis Medications,Completed,Has Results,Multiple Sclerosis,Nervous System Diseases,Drug: Anesthetic Topical Adhesive Synera,Other,Interventional,2013-03-01,"MS Center at Evergreen Health, Kirkland, Washington, United States",https://ClinicalTrials.gov/show/NCT01834586
2283,TakeCharge: Telephone Delivered Self-management Intervention for People With Multiple Sclerosis (MS),Completed,No Results Available,Multiple Sclerosis,Nervous System Diseases,Behavioral: Self-management intervention|Behavioral: Education,Other,Interventional,2009-10-01,"University of Washington, Seattle, Washington, United States",https://ClinicalTrials.gov/show/NCT00944190
2165,Light Therapy in the Treatment of Leg Pain,Terminated,Has Results,Tibial Fractures|Leg Injuries,Wounds and Injuries,Device: Monochromatic Near-Infrared Light Energy (MIRE),Other|U.S. Fed,Interventional,2005-11-01,"William Beaumont Army Medical Center, El Paso, Texas, United States",https://ClinicalTrials.gov/show/NCT00253981
